in_angle,out_angle,gain_dB,phase_shift
1,1,13.8720745636049,2.34003470227014
1,2,17.1810221640606,-0.801557951319639
1,3,24.9127630139378,-0.801557951319646
1,4,27.2664863877688,-0.801557951319646
1,5,26.813747715129,-0.801557951319646
1,6,23.063316441987,-0.801557951319644
1,7,6.34501085911251,-0.801557951319657
1,8,20.9438541362809,2.34003470227014
1,9,26.703994194272,2.34003470227015
1,10,28.3856344009811,2.34003470227014
1,11,27.4085640631192,2.34003470227015
1,12,22.7774896877897,2.34003470227014
1,13,-9.04109494406072,-0.801557951319692
1,14,23.5771103018625,-0.801557951319646
1,15,28.4170339512664,-0.801557951319646
1,16,29.7820170562583,-0.801557951319646
1,17,28.6241655272942,-0.801557951319646
1,18,23.7743761604648,-0.801557951319646
1,19,0.720015916036516,2.34003470227014
1,20,25.3205996501358,2.34003470227014
1,21,30.1335713235862,2.34003470227014
1,22,31.6600599056095,2.34003470227015
1,23,30.8560000968292,2.34003470227014
1,24,26.9198901248249,2.34003470227014
1,25,8.502027677917,2.34003470227016
1,26,25.7368079856762,-0.801557951319638
1,27,31.7612610841678,-0.801557951319646
1,28,34.0870782989789,-0.801557951319646
1,29,34.2506632303082,-0.801557951319657
1,30,32.1188970905729,-0.801557951319646
1,31,25.2133704245725,-0.801557951319659
1,32,20.943397463837,2.34003470227015
1,33,32.5290629287808,2.34003470227014
1,34,36.7741581635193,2.34003470227014
1,35,38.5974382117701,2.34003470227014
1,36,38.672327813593,2.34003470227014
1,37,36.6990618016724,2.34003470227014
1,38,30.210745405456,2.34003470227014
1,39,26.0293682954014,-0.801557951319637
1,40,38.5507961093875,-0.801557951319657
1,41,43.8448574210053,-0.801557951319646
1,42,47.1086520927877,-0.801557951319646
1,43,49.285808709446,-0.801557951319646
1,44,50.7276420325632,-0.801557951319646
1,45,51.6029272626997,-0.801557951319645
1,46,52.0024187821574,-0.801557951319646
1,47,51.9752011026029,-0.801557951319646
1,48,51.5428774820481,-0.801557951319646
1,49,50.7039246051435,-0.801557951319646
1,50,49.4312213039603,-0.801557951319646
1,51,47.6608443822465,-0.801557951319646
1,52,45.262530479201,-0.801557951319646
1,53,41.9568059704071,-0.801557951319657
1,54,37.0129500163837,-0.801557951319646
1,55,27.1646153657799,-0.801557951319665
1,56,24.7032487586061,2.34003470227016
1,57,33.6488257999931,2.34003470227014
1,58,36.8785433034277,2.34003470227014
1,59,38.3435678792586,2.34003470227014
1,60,38.8408614098738,2.34003470227014
1,61,38.6531356524989,2.34003470227014
1,62,37.8876867864262,2.34003470227014
1,63,36.5556483435603,2.34003470227014
1,64,34.5761161436801,2.34003470227014
