in_angle,out_angle,gain_dB,phase_shift
1,1,21.8064846787094,0.0132272779499236
1,2,26.3692724159321,0.0132272779499205
1,3,27.3909439152026,0.0132272779499189
1,4,25.6466245422304,0.0132272779499213
1,5,19.1510423247627,0.0132272779499242
1,6,12.2124093447308,-3.12836537563987
1,7,24.3720780155298,-3.12836537563987
1,8,27.8380330938355,-3.12836537563987
1,9,28.2629171590162,-3.12836537563987
1,10,25.8545052151197,-3.12836537563987
1,11,17.3192240801265,-3.12836537563987
1,12,17.7050029658309,0.0132272779499281
1,13,26.5637102509696,0.013227277949923
1,14,29.4190866755771,0.0132272779499206
1,15,29.5286641996714,0.0132272779499214
1,16,26.8130371729589,0.0132272779499214
1,17,17.1743382030403,0.0132272779499135
1,18,20.3945843194426,-3.12836537563987
1,19,28.4785803774976,-3.12836537563987
1,20,31.2711078496392,-3.12836537563987
1,21,31.505803017498,-3.12836537563987
1,22,29.149662134747,-3.12836537563987
1,23,21.1343559342736,-3.12836537563987
1,24,20.3924558852545,0.0132272779499307
1,25,30.0449143448055,0.0132272779499222
1,26,33.4921117977041,0.0132272779499187
1,27,34.4251760085851,0.0132272779499205
1,28,33.1818580568112,0.0132272779499186
1,29,28.4889301603091,0.0132272779499156
1,30,3.29777425923569,-3.12836537563999
1,31,30.4454255454935,-3.12836537563987
1,32,35.907045652006,-3.12836537563987
1,33,38.3043161941414,-3.12836537563987
1,34,38.8123565886458,-3.12836537563987
1,35,37.3459419538667,-3.12836537563987
1,36,32.1631927132283,-3.12836537563987
1,37,20.3563819945678,0.0132272779498997
1,38,37.5182954071761,0.0132272779499192
1,39,43.3847716244071,0.0132272779499223
1,40,46.8871331938827,0.0132272779499186
1,41,49.1920049219514,0.0132272779499196
1,42,50.7041831188603,0.0132272779499204
1,43,51.6111083686188,0.0132272779499201
1,44,52.0106907659899,0.0132272779499192
1,45,51.9537953777273,0.0132272779499215
1,46,51.4601020852707,0.0132272779499218
1,47,50.5221922913482,0.0132272779499201
1,48,49.100905239363,0.0132272779499201
1,49,47.1080783445459,0.013227277949918
1,50,44.3593860343183,0.0132272779499201
1,51,40.4270386709549,0.0132272779499183
1,52,33.9664599638297,0.0132272779499251
1,53,8.36361961203141,0.0132272779498751
1,54,30.9070633544778,-3.12836537563987
1,55,35.9102702265359,-3.12836537563987
1,56,38.0060031807511,-3.12836537563987
1,57,38.7912568364114,-3.12836537563987
1,58,38.720861170561,-3.12836537563987
1,59,37.9514896537064,-3.12836537563987
1,60,36.4955707052342,-3.12836537563987
1,61,34.2278393871442,-3.12836537563987
1,62,30.7597128406371,-3.12836537563987
1,63,24.7787311492427,-3.12836537563988
1,64,-0.0217108758736799,-3.12836537563987
1,65,22.7358490623005,0.0132272779499352
1,66,28.3779026754796,0.0132272779499162
1,67,31.2023852910305,0.0132272779499218
1,68,32.8426598290837,0.0132272779499198
1,69,33.7970208238997,0.013227277949923
1,70,34.2862286248108,0.0132272779499195
1,71,34.4279673271893,0.0132272779499224
1,72,34.2921526598545,0.0132272779499196
1,73,33.9230346890242,0.0132272779499214
1,74,33.3493724919721,0.0132272779499213
1,75,32.589522412751,0.013227277949917
1,76,31.6540330209135,0.0132272779499214
1,77,30.5468265623828,0.0132272779499171
1,78,29.2654079487847,0.013227277949917
1,79,27.8002018313098,0.0132272779499196
1,80,26.1328445666665,0.0132272779499162
1,81,24.2328889416151,0.0132272779499263
1,82,22.0516609120852,0.0132272779499071
1,83,19.5102827289174,0.0132272779499313
1,84,16.4739904751139,0.0132272779499454
1,85,12.6880159280984,0.0132272779499719
1,86,7.57238656872516,0.0132272779498264
1,87,-0.849419621388449,0.0132272779500758
1,88,-16.5654520367095,-3.12836537564033
1,89,-2.16418391791012,-3.12836537564002
1,90,-0.0928180404833938,-3.12836537564002
1,91,-2.16418391791012,-3.12836537564002
1,92,-16.5654520367095,-3.12836537564033
1,93,-0.849419621388449,0.0132272779500758
1,94,7.57238656872516,0.0132272779498264
1,95,12.6880159280984,0.0132272779499719
1,96,16.4739904751139,0.0132272779499454
1,97,19.5102827289174,0.0132272779499313
1,98,22.0516609120852,0.0132272779499071
1,99,24.2328889416151,0.0132272779499263
1,100,26.1328445666665,0.0132272779499162
1,101,27.8002018313098,0.0132272779499196
1,102,29.2654079487847,0.013227277949917
1,103,30.5468265623828,0.0132272779499171
1,104,31.6540330209135,0.0132272779499214
1,105,32.589522412751,0.013227277949917
1,106,33.3493724919721,0.0132272779499213
1,107,33.9230346890242,0.0132272779499214
1,108,34.2921526598545,0.0132272779499196
1,109,34.4279673271893,0.0132272779499224
1,110,34.2862286248108,0.0132272779499195
1,111,33.7970208238997,0.013227277949923
1,112,32.8426598290837,0.0132272779499198
1,113,31.2023852910305,0.0132272779499218
1,114,28.3779026754796,0.0132272779499162
1,115,22.7358490623005,0.0132272779499352
1,116,-0.0217108758736799,-3.12836537563987
1,117,24.7787311492427,-3.12836537563988
1,118,30.7597128406371,-3.12836537563987
1,119,34.2278393871442,-3.12836537563987
1,120,36.4955707052342,-3.12836537563987
1,121,37.9514896537064,-3.12836537563987
1,122,38.720861170561,-3.12836537563987
1,123,38.7912568364114,-3.12836537563987
1,124,38.0060031807511,-3.12836537563987
1,125,35.9102702265359,-3.12836537563987
1,126,30.9070633544778,-3.12836537563987
1,127,8.36361961203141,0.0132272779498751
1,128,33.9664599638297,0.0132272779499251
1,129,40.4270386709549,0.0132272779499183
1,130,44.3593860343183,0.0132272779499201
1,131,47.1080783445459,0.013227277949918
1,132,49.100905239363,0.0132272779499201
1,133,50.5221922913482,0.0132272779499201
1,134,51.4601020852707,0.0132272779499218
1,135,51.9537953777273,0.0132272779499215
1,136,52.0106907659899,0.0132272779499192
1,137,51.6111083686188,0.0132272779499201
1,138,50.7041831188603,0.0132272779499204
1,139,49.1920049219514,0.0132272779499196
1,140,46.8871331938827,0.0132272779499186
1,141,43.3847716244071,0.0132272779499223
1,142,37.5182954071761,0.0132272779499192
1,143,20.3563819945678,0.0132272779498997
1,144,32.1631927132283,-3.12836537563987
1,145,37.3459419538667,-3.12836537563987
1,146,38.8123565886458,-3.12836537563987
1,147,38.3043161941414,-3.12836537563987
1,148,35.907045652006,-3.12836537563987
1,149,30.4454255454935,-3.12836537563987
1,150,3.29777425923569,-3.12836537563999
1,151,28.4889301603091,0.0132272779499156
1,152,33.1818580568112,0.0132272779499186
1,153,34.4251760085851,0.0132272779499205
1,154,33.4921117977041,0.0132272779499187
1,155,30.0449143448055,0.0132272779499222
1,156,20.3924558852545,0.0132272779499307
1,157,21.1343559342736,-3.12836537563987
1,158,29.149662134747,-3.12836537563987
1,159,31.505803017498,-3.12836537563987
1,160,31.2711078496392,-3.12836537563987
1,161,28.4785803774976,-3.12836537563987
1,162,20.3945843194426,-3.12836537563987
1,163,17.1743382030403,0.0132272779499135
1,164,26.8130371729589,0.0132272779499214
1,165,29.5286641996714,0.0132272779499214
1,166,29.4190866755771,0.0132272779499206
1,167,26.5637102509696,0.013227277949923
1,168,17.7050029658309,0.0132272779499281
1,169,17.3192240801265,-3.12836537563987
1,170,25.8545052151197,-3.12836537563987
1,171,28.2629171590162,-3.12836537563987
1,172,27.8380330938355,-3.12836537563987
1,173,24.3720780155298,-3.12836537563987
1,174,12.2124093447308,-3.12836537563987
1,175,19.1510423247627,0.0132272779499242
1,176,25.6466245422304,0.0132272779499213
1,177,27.3909439152026,0.0132272779499189
1,178,26.3692724159321,0.0132272779499205
1,179,21.8064846787094,0.0132272779499236
2,1,26.3692724159321,0.0132272779499204
2,2,27.3907542331003,0.0132272779499196
2,3,25.6414237385253,0.0132272779499196
2,4,19.1188505694354,0.0132272779499178
2,5,12.3343293009375,-3.12836537563987
2,6,24.4068470426672,-3.12836537563987
2,7,27.8524115996225,-3.12836537563987
2,8,28.2533950548085,-3.12836537563987
2,9,25.7958023823062,-3.12836537563987
2,10,17.0313918679173,-3.12836537563987
2,11,18.0410855381056,0.0132272779499251
2,12,26.6750751366793,0.0132272779499232
2,13,29.4561035652153,0.0132272779499214
2,14,29.4899538224718,0.0132272779499192
2,15,26.6333882835639,0.0132272779499257
2,16,16.2555162602146,0.0132272779499383
2,17,21.0743361855136,-3.12836537563987
2,18,28.7162216570255,-3.12836537563987
2,19,31.3513506112465,-3.12836537563987
2,20,31.4374532978177,-3.12836537563987
2,21,28.829564060006,-3.12836537563987
2,22,19.7394700736677,-3.12836537563987
2,23,21.9343469068793,0.0132272779499242
2,24,30.5428168479365,0.0132272779499177
2,25,33.6968137873689,0.0132272779499218
2,26,34.3978933298475,0.0132272779499222
2,27,32.8322523974448,0.0132272779499186
2,28,27.2854556479169,0.0132272779499214
2,29,15.7417012491307,-3.12836537563987
2,30,31.6734478363878,-3.12836537563987
2,31,36.4837449635331,-3.12836537563987
2,32,38.532896366227,-3.12836537563987
2,33,38.6962656733436,-3.12836537563987
2,34,36.6756323704418,-3.12836537563987
2,35,29.6356109535994,-3.12836537563987
2,36,28.0435752501365,0.0132272779499325
2,37,39.433304751034,0.0132272779499162
2,38,44.5266902076586,0.0132272779499187
2,39,47.6750590594977,0.0132272779499215
2,40,49.7469711074737,0.0132272779499198
2,41,51.0725305354306,0.0132272779499214
2,42,51.8098819397145,0.0132272779499201
2,43,52.0411624431293,0.0132272779499214
2,44,51.8056092218062,0.0132272779499201
2,45,51.1111050093155,0.0132272779499205
2,46,49.9345054506876,0.0132272779499215
2,47,48.2108246391711,0.0132272779499198
2,48,45.801159836456,0.0132272779499189
2,49,42.3987243253367,0.0132272779499144
2,50,37.1689066682829,0.013227277949909
2,51,25.8837593109793,0.013227277949918
2,52,27.3184008552719,-3.12836537563987
2,53,34.8398919135648,-3.12836537563987
2,54,37.6133474191662,-3.12836537563987
2,55,38.7025559349801,-3.12836537563987
2,56,38.7838927622565,-3.12836537563987
2,57,38.0756727466202,-3.12836537563987
2,58,36.6049899048251,-3.12836537563987
2,59,34.2295774312043,-3.12836537563987
2,60,30.4764720125795,-3.12836537563987
2,61,23.5651997514419,-3.12836537563987
2,62,7.03143387321151,0.0132272779499677
2,63,24.9150735415537,0.0132272779499391
2,64,29.6549811638685,0.0132272779499245
2,65,32.0987462320398,0.0132272779499189
2,66,33.4712985313026,0.0132272779499196
2,67,34.1843168856557,0.0132272779499223
2,68,34.4255448815222,0.0132272779499223
2,69,34.2935380790119,0.0132272779499213
2,70,33.8421772031264,0.0132272779499192
2,71,33.0979679294619,0.0132272779499224
2,72,32.0663375400728,0.0132272779499227
2,73,30.7315043845854,0.0132272779499223
2,74,29.0497831087395,0.0132272779499239
2,75,26.9312843524515,0.0132272779499186
2,76,24.1922751526689,0.0132272779499195
2,77,20.407892073303,0.013227277949936
2,78,14.2404071424797,0.0132272779499329
2,79,-10.7597758897016,0.0132272779500447
2,80,12.1900131523324,-3.12836537563987
2,81,17.964732612521,-3.12836537563987
2,82,21.0169714799636,-3.12836537563987
2,83,22.9728033123523,-3.12836537563987
2,84,24.3261296952696,-3.12836537563987
2,85,25.29407494457,-3.12836537563987
2,86,25.9909119236916,-3.12836537563987
2,87,26.4830638101415,-3.12836537563987
2,88,26.8109611879801,-3.12836537563987
2,89,26.9989804099952,-3.12836537563987
2,90,27.0602663902949,-3.12836537563987
2,91,26.9989804099952,-3.12836537563987
2,92,26.8109611879801,-3.12836537563987
2,93,26.4830638101415,-3.12836537563987
2,94,25.9909119236916,-3.12836537563987
2,95,25.29407494457,-3.12836537563987
2,96,24.3261296952696,-3.12836537563987
2,97,22.9728033123523,-3.12836537563987
2,98,21.0169714799636,-3.12836537563987
2,99,17.964732612521,-3.12836537563987
2,100,12.1900131523324,-3.12836537563987
2,101,-10.7597758897016,0.0132272779500447
2,102,14.2404071424797,0.0132272779499329
2,103,20.407892073303,0.013227277949936
2,104,24.1922751526689,0.0132272779499195
2,105,26.9312843524515,0.0132272779499186
2,106,29.0497831087395,0.0132272779499239
2,107,30.7315043845854,0.0132272779499223
2,108,32.0663375400728,0.0132272779499227
2,109,33.0979679294619,0.0132272779499224
2,110,33.8421772031264,0.0132272779499192
2,111,34.2935380790119,0.0132272779499213
2,112,34.4255448815222,0.0132272779499223
2,113,34.1843168856557,0.0132272779499223
2,114,33.4712985313026,0.0132272779499196
2,115,32.0987462320398,0.0132272779499189
2,116,29.6549811638685,0.0132272779499245
2,117,24.9150735415537,0.0132272779499391
2,118,7.03143387321151,0.0132272779499677
2,119,23.5651997514419,-3.12836537563987
2,120,30.4764720125795,-3.12836537563987
2,121,34.2295774312043,-3.12836537563987
2,122,36.6049899048251,-3.12836537563987
2,123,38.0756727466202,-3.12836537563987
2,124,38.7838927622565,-3.12836537563987
2,125,38.7025559349801,-3.12836537563987
2,126,37.6133474191662,-3.12836537563987
2,127,34.8398919135648,-3.12836537563987
2,128,27.3184008552719,-3.12836537563987
2,129,25.8837593109793,0.013227277949918
2,130,37.1689066682829,0.013227277949909
2,131,42.3987243253367,0.0132272779499144
2,132,45.801159836456,0.0132272779499189
2,133,48.2108246391711,0.0132272779499198
2,134,49.9345054506876,0.0132272779499215
2,135,51.1111050093155,0.0132272779499205
2,136,51.8056092218062,0.0132272779499201
2,137,52.0411624431293,0.0132272779499214
2,138,51.8098819397145,0.0132272779499201
2,139,51.0725305354306,0.0132272779499214
2,140,49.7469711074737,0.0132272779499198
2,141,47.6750590594977,0.0132272779499215
2,142,44.5266902076586,0.0132272779499187
2,143,39.433304751034,0.0132272779499162
2,144,28.0435752501365,0.0132272779499325
