in_angle,out_angle,gain_dB,phase_shift
1,1,18.12003503497,86.3999999999999
1,2,10.9775956837178,4.18465579440155e-13
1,3,23.7372669148357,1.99579806261836e-14
1,4,27.5745317798851,-3.48549036154883e-14
1,5,28.3568351168006,-1.40501003053651e-14
1,6,26.2788218381144,-2.16834315408775e-14
1,7,17.7585768208689,-1.63560024494261e-14
1,8,19.8172983285881,4.32009983342141e-14
1,9,28.80653745389,-180
1,10,32.1259464625979,-79.2
1,11,32.7584004008923,10.8
1,12,30.474575733088,100.8
1,13,19.4020991123611,89.9999999999999
1,14,28.5967011408683,5.62600366217378e-14
1,15,37.0163860842869,-2.62435518154259e-14
1,16,41.3309883691736,-7.0051716859234e-15
1,17,43.9175904101686,2.44505141137508e-15
1,18,45.3933101737939,1.22848924571528e-15
1,19,45.9945280883639,-4.5720473546038e-16
1,20,45.8082573188831,-5.84426922718921e-16
1,21,44.8282265649315,-9.14409470920761e-15
1,22,42.9483384617572,-4.45277655404893e-16
1,23,39.8820452504672,4.09893984573611e-15
1,24,34.8222567839956,-3.18890363750236e-14
1,25,23.8056682113169,1.21950417874015e-13
1,26,23.8639264286199,90
1,27,31.0044872228122,-100.8
1,28,32.7783769835747,100.8
1,29,32.2527170831886,180
1,30,29.692375285152,5.11590769747272e-15
1,31,23.8840931966622,-89.9999999999999
1,32,-22.3221514454208,-2.00683975576439e-11
1,33,22.6328567911617,-1.79041374406285e-13
1,34,27.0836493374404,-2.21764175165044e-14
1,35,28.3830997371413,-3.73993473606591e-14
1,36,27.8129875557569,2.61044025481118e-14
1,37,25.3951096197415,1.42973884318489e-13
1,38,19.9383324323683,6.53643743974271e-14
1,39,-8.80500225200825,7.651937480399e-13
1,40,18.4643857698846,-79.1999999999999
1,41,23.4999354435367,90
1,42,25.3798721429692,90
1,43,25.5706022967992,3.01270119962282e-14
1,44,24.3400982155659,-180
1,45,21.38528634608,-79.1999999999999
1,46,15.0283508620103,-10.8
1,47,-1.89479788992642,7.09708971621769e-13
1,48,16.537579612571,4.25836514914447e-14
1,49,21.1200737776491,-8.73459829396918e-14
1,50,23.131323776679,-1.96796820915555e-14
1,51,23.7611589232116,-2.49991597963032e-14
1,52,23.331250714029,6.55194264381484e-15
1,53,21.8470306038694,-3.11535331049351e-14
1,54,18.9906374755231,3.40518135584188e-14
1,55,13.5188032850589,-3.35588275827919e-14
1,56,-8.90586015373827,-7.48885453910696e-13
1,57,11.6388100959942,2.50111042987555e-14
1,58,17.4365477694947,5.6843418860808e-15
1,59,20.2325767806766,90
1,60,21.6981381615504,-3.41060513164848e-15
1,61,22.3229611956439,-2.55795384873636e-14
1,62,22.3017473721993,90
1,63,21.7058922408669,-180
1,64,20.5250070032376,90
1,65,18.6546879697099,-10.8
1,66,15.8098469712656,-2.67164068645798e-14
1,67,11.1589802925756,89.9999999999998
1,68,0.298157825644381,-1.4210854715202e-13
1,69,3.17632466708707,-3.16723610873489e-13
1,70,11.4163160403791,2.89231691345588e-14
1,71,15.1824628295897,5.45186829336365e-14
1,72,17.4599818804655,-1.00934902816245e-13
1,73,18.9603476776966,-2.43232919264923e-14
1,74,19.9725395241936,5.70193940519372e-14
1,75,20.6457236910828,-9.4939557241686e-15
1,76,21.0690862074511,5.88005046735568e-14
1,77,21.3018234860421,-2.62992115223515e-14
1,78,21.3865696124593,-1.8852737874375e-14
1,79,21.3561843269885,-6.64735928425875e-15
1,80,21.2375015263013,-1.60140928211688e-14
1,81,21.0535305654173,-8.69881705380272e-15
1,82,20.8247883097752,3.57057019927798e-14
1,83,20.570088000353,-1.2070205016154e-14
1,84,20.3069464737676,4.00948674531995e-14
1,85,20.0516928488777,1.0392462421682e-14
1,86,19.8193294082144,-7.07673416625633e-16
1,87,19.6231916479503,-4.49929216626533e-14
1,88,19.4744689248214,1.31038852876297e-14
1,89,19.3816692938591,-4.65235636031076e-14
1,90,19.3501293244675,2.19259488353391e-14
1,91,19.3816692938591,-4.65235636031076e-14
1,92,19.4744689248214,1.31038852876297e-14
1,93,19.6231916479503,-4.49929216626533e-14
1,94,19.8193294082144,-7.07673416625633e-16
1,95,20.0516928488777,1.0392462421682e-14
1,96,20.3069464737676,4.00948674531995e-14
1,97,20.570088000353,-1.2070205016154e-14
1,98,20.8247883097752,3.57057019927798e-14
1,99,21.0535305654173,-8.69881705380272e-15
1,100,21.2375015263013,-1.60140928211688e-14
1,101,21.3561843269885,-6.64735928425875e-15
1,102,21.3865696124593,-1.8852737874375e-14
1,103,21.3018234860421,-2.62992115223515e-14
1,104,21.0690862074511,5.88005046735568e-14
1,105,20.6457236910828,-9.4939557241686e-15
1,106,19.9725395241936,5.70193940519372e-14
1,107,18.9603476776966,-2.43232919264923e-14
1,108,17.4599818804655,-1.00934902816245e-13
1,109,15.1824628295897,5.45186829336365e-14
1,110,11.4163160403791,2.89231691345588e-14
1,111,3.17632466708707,-3.16723610873489e-13
1,112,0.298157825644381,-1.4210854715202e-13
1,113,11.1589802925756,89.9999999999998
1,114,15.8098469712656,-2.67164068645798e-14
1,115,18.6546879697099,-10.8
1,116,20.5250070032376,90
1,117,21.7058922408669,-180
1,118,22.3017473721993,90
1,119,22.3229611956439,-2.55795384873636e-14
1,120,21.6981381615504,-3.41060513164848e-15
1,121,20.2325767806766,90
1,122,17.4365477694947,5.6843418860808e-15
1,123,11.6388100959942,2.50111042987555e-14
1,124,-8.90586015373827,-7.48885453910696e-13
1,125,13.5188032850589,-3.35588275827919e-14
1,126,18.9906374755231,3.40518135584188e-14
1,127,21.8470306038694,-3.11535331049351e-14
1,128,23.331250714029,6.55194264381484e-15
1,129,23.7611589232116,-2.49991597963032e-14
1,130,23.131323776679,-1.96796820915555e-14
1,131,21.1200737776491,-8.73459829396918e-14
1,132,16.537579612571,4.25836514914447e-14
1,133,-1.89479788992642,7.09708971621769e-13
1,134,15.0283508620103,-10.8
1,135,21.38528634608,-79.1999999999999
1,136,24.3400982155659,-180
1,137,25.5706022967992,3.01270119962282e-14
1,138,25.3798721429692,90
1,139,23.4999354435367,90
1,140,18.4643857698846,-79.1999999999999
1,141,-8.80500225200825,7.651937480399e-13
1,142,19.9383324323683,6.53643743974271e-14
1,143,25.3951096197415,1.42973884318489e-13
1,144,27.8129875557569,2.61044025481118e-14
1,145,28.3830997371413,-3.73993473606591e-14
1,146,27.0836493374404,-2.21764175165044e-14
1,147,22.6328567911617,-1.79041374406285e-13
1,148,-22.3221514454208,-2.00683975576439e-11
1,149,23.8840931966622,-89.9999999999999
1,150,29.692375285152,5.11590769747272e-15
1,151,32.2527170831886,180
1,152,32.7783769835747,100.8
1,153,31.0044872228122,-100.8
1,154,23.8639264286199,90
1,155,23.8056682113169,1.21950417874015e-13
1,156,34.8222567839956,-3.18890363750236e-14
1,157,39.8820452504672,4.09893984573611e-15
1,158,42.9483384617572,-4.45277655404893e-16
1,159,44.8282265649315,-9.14409470920761e-15
1,160,45.8082573188831,-5.84426922718921e-16
1,161,45.9945280883639,-4.5720473546038e-16
1,162,45.3933101737939,1.22848924571528e-15
1,163,43.9175904101686,2.44505141137508e-15
1,164,41.3309883691736,-7.0051716859234e-15
1,165,37.0163860842869,-2.62435518154259e-14
1,166,28.5967011408683,5.62600366217378e-14
1,167,19.4020991123611,89.9999999999999
1,168,30.474575733088,100.8
1,169,32.7584004008923,10.8
1,170,32.1259464625979,-79.2
1,171,28.80653745389,-180
1,172,19.8172983285881,4.32009983342141e-14
1,173,17.7585768208689,-1.63560024494261e-14
1,174,26.2788218381144,-2.16834315408775e-14
1,175,28.3568351168006,-1.40501003053651e-14
1,176,27.5745317798851,-3.48549036154883e-14
1,177,23.7372669148357,1.99579806261836e-14
1,178,10.9775956837178,4.18465579440155e-13
1,179,18.12003503497,89.9999999999999
2,1,10.9775956837178,4.55181107544299e-13
2,2,23.7409753635095,4.27347278388142e-14
2,3,27.5777440291501,-2.05225290821433e-14
2,4,28.355401410938,-5.75879182012488e-14
2,5,26.2616266681689,6.03192195339556e-14
2,6,17.6488083279423,-9.66689838497318e-14
2,7,19.9521957907299,-79.1999999999998
2,8,28.86119878435,180
2,9,32.150985085936,10.8
2,10,32.7475938744119,90
2,11,30.3834824032666,-79.2
2,12,18.6853500605459,10.7999999999999
2,13,28.9625643274375,4.11205963379714e-14
2,14,37.1981540256685,9.65298345824178e-15
2,15,41.4531747039006,-8.53581362637772e-15
2,16,44.0008748931589,1.351735739622e-14
2,17,45.4413308029367,5.2876721579331e-16
2,18,46.0043130319198,4.77083202219527e-17
2,19,45.7719217136416,-6.60362665738863e-15
2,20,44.7316051913131,-6.85409533855388e-15
2,21,42.7656937832393,-4.16652663271721e-15
2,22,39.5589565694219,-2.40449933918642e-14
2,23,34.1976162973315,-5.09683887704529e-15
2,24,21.5693517990692,-7.4361368452617e-14
2,25,25.259139126531,90
2,26,31.376306017018,100.8
2,27,32.8219703276187,90
2,28,32.027459114789,-1.64845914696343e-14
2,29,29.0938403782234,180
2,30,22.3274128994779,90
2,31,8.45932847194007,-4.1723709019444e-13
2,32,23.8688657154711,3.86119338329671e-14
2,33,27.5241093442711,-2.53887777447825e-14
2,34,28.4054240847005,-1.57715755267072e-14
2,35,27.4367518590615,3.88504754340768e-14
2,36,24.4337037203028,5.63514775688299e-14
2,37,17.4220074653807,1.75328076815677e-15
2,38,6.97660580133712,79.1999999999997
2,39,20.5199730809209,90
2,40,24.3261386332505,90
2,41,25.6076783196699,90
2,42,25.2943102901081,90
2,43,23.4535985131066,90
2,44,19.4257685986146,-89.9999999999999
2,45,9.08806060176047,-79.2
2,46,11.1916100781464,-1.22363889982605e-13
2,47,19.2491482152332,-6.76543737680808e-14
2,48,22.3701237597252,-4.56369839856496e-14
2,49,23.6176323228303,3.32924561282194e-14
2,50,23.6340246652328,3.91685309022232e-14
2,51,22.551089695107,-2.80485165971564e-14
2,52,20.1750118037895,-5.82478832976525e-14
2,53,15.6461130755386,-3.31294527007944e-14
2,54,3.56131465437304,-1.55875009245175e-13
2,55,9.38955155061561,-180
2,56,16.7562142791166,10.8000000000001
2,57,19.9899440170775,10.8
2,58,21.6360491761564,180
2,59,22.3227838086677,10.8
2,60,22.2804921990362,180
2,61,21.5826455063855,100.8
2,62,20.1952653369027,9.09494701772928e-15
2,63,17.9439886143669,90
2,64,14.3283185404433,10.8000000000001
2,65,7.48279659727248,180
2,66,-7.0260359294052,6.47286610304696e-13
2,67,9.78868000714419,9.72335323056915e-14
2,68,14.7237168952417,3.84648331789494e-14
2,69,17.4501780127257,-2.46492987813422e-16
2,70,19.1552254694982,5.13699337989876e-14
2,71,20.2470646618219,3.55426985653548e-15
2,72,20.9181033550496,1.60180685145206e-14
2,73,21.2761071506021,1.09411081042345e-14
2,74,21.3886697752837,-1.30522012740559e-14
2,75,21.3018722260165,3.42665009994176e-14
2,76,21.049334759562,1.39745621316803e-14
2,77,20.6571368669816,1.70517487859963e-14
2,78,20.1467832365321,-2.81558603176558e-14
2,79,19.5371967279461,-3.12091928118607e-15
2,80,18.846226851065,-6.37701213633435e-15
2,81,18.0919340469642,1.90435711552628e-15
2,82,17.2937832908842,-1.68927210519231e-14
2,83,16.473782492296,3.6679746863978e-14
2,84,15.65749173332,6.46885065276161e-14
2,85,14.8746875826799,-1.99062966126098e-14
2,86,14.1593021852986,1.1079064663543e-13
2,87,13.5481389459352,8.11081200706715e-14
2,88,13.0779452197266,2.41404100323081e-14
2,89,12.7808728031115,4.79866187565808e-14
2,90,12.6791845055168,3.65366219033121e-14
2,91,12.7808728031115,4.79866187565808e-14
2,92,13.0779452197266,2.41404100323081e-14
2,93,13.5481389459352,8.11081200706715e-14
2,94,14.1593021852986,1.1079064663543e-13
2,95,14.8746875826799,-1.99062966126098e-14
2,96,15.65749173332,6.46885065276161e-14
2,97,16.473782492296,3.6679746863978e-14
2,98,17.2937832908842,-1.68927210519231e-14
2,99,18.0919340469642,1.90435711552628e-15
2,100,18.846226851065,-6.37701213633435e-15
2,101,19.5371967279461,-3.12091928118607e-15
2,102,20.1467832365321,-2.81558603176558e-14
2,103,20.6571368669816,1.70517487859963e-14
2,104,21.049334759562,1.39745621316803e-14
2,105,21.3018722260165,3.42665009994176e-14
2,106,21.3886697752837,-1.30522012740559e-14
2,107,21.2761071506021,1.09411081042345e-14
2,108,20.9181033550496,1.60180685145206e-14
2,109,20.2470646618219,3.55426985653548e-15
2,110,19.1552254694982,5.13699337989876e-14
2,111,17.4501780127257,-2.46492987813422e-16
2,112,14.7237168952417,3.84648331789494e-14
2,113,9.78868000714419,9.72335323056915e-14
2,114,-7.0260359294052,6.47286610304696e-13
2,115,7.48279659727248,180
2,116,14.3283185404433,10.8000000000001
2,117,17.9439886143669,90
2,118,20.1952653369027,9.09494701772928e-15
2,119,21.5826455063855,100.8
2,120,22.2804921990362,180
2,121,22.3227838086677,10.8
2,122,21.6360491761564,180
2,123,19.9899440170775,10.8
2,124,16.7562142791166,10.8000000000001
2,125,9.38955155061561,-180
